University,ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
Brown University,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3920,138672.6844,56316.41566,1537.134435,195,English,23
Brown University,2016,2016,172061,Computer hardware engineers,TRUE,TRUE,293,106926.7031,65498.48568,420.2503821,17,English,23
Brown University,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3891,138890.6132,58499.63628,1531.437839,198,English,23
Brown University,2015,2015,172061,Computer hardware engineers,TRUE,TRUE,284,105959.6514,66206.30816,413.7456908,17,English,23
Brown University,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3924,136668.0245,54624.51417,1537.917747,203,English,23
Brown University,2014,2014,172061,Computer hardware engineers,TRUE,TRUE,275,93656.74182,54192.20318,407.1370892,16,English,23
Brown University,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3813,125434.9321,51839.50378,1516.010068,201,English,23
University of columbia,2020,2020,291020,Dentists,TRUE,TRUE,155,196242.3935,363102.5675,305.6612471,10,Architecture and Related Services,4
University of columbia,2020,2020,291210,Physicians,TRUE,TRUE,780,188883.3154,129634.5238,685.6791083,40,Architecture and Related Services,4
University of columbia,2020,2020,291240,Surgeons,TRUE,TRUE,107,299919.4206,476193.1889,253.9606855,5,Architecture and Related Services,4
University of columbia,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,454,260657.9956,247003.58,523.1208379,25,Architecture and Related Services,4
University of columbia,2020,2020,532010,Aircraft pilots & flight engineers,TRUE,TRUE,859,127976.5763,85930.83285,719.565085,30,Architecture and Related Services,4
University of columbia,2019,2019,291020,Dentists,TRUE,TRUE,218,145776.4954,279935.43,362.4955541,10,Architecture and Related Services,4
University of columbia,2019,2019,291210,Physicians,TRUE,TRUE,893,212150.9194,130678.7101,733.6673176,40,Architecture and Related Services,4
University of columbia,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,444,249718.1644,255205.4914,517.3275295,22,Architecture and Related Services,4
University of columbia,2019,2019,532010,Aircraft pilots & flight engineers,TRUE,TRUE,725,125199.291,62980.81864,661.0627628,26,Architecture and Related Services,4
University of columbia,2018,2018,291020,Dentists,TRUE,TRUE,192,192308.0469,361393.2677,340.1927752,8,Architecture and Related Services,4
University of columbia,2018,2018,291210,Physicians,TRUE,TRUE,853,205709.2087,138227.7579,717.0476219,35,Architecture and Related Services,4
University of columbia,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,451,193117.1264,223798.8445,521.3895899,23,Architecture and Related Services,4
University of columbia,2018,2018,532010,Aircraft pilots & flight engineers,TRUE,TRUE,633,119091.0174,50487.18858,617.6972501,23,Architecture and Related Services,4
University of columbia,2017,2017,291020,Dentists,TRUE,TRUE,304,161637.8849,231555.0717,428.0663502,11,Architecture and Related Services,4
University of columbia,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,453,151896.0199,175934.6927,522.5443703,24,Architecture and Related Services,4
University of columbia,2017,2017,532010,Aircraft pilots & flight engineers,TRUE,TRUE,562,108586.1886,40364.99882,582.0255699,24,Architecture and Related Services,4
University of columbia,2016,2016,291020,Dentists,TRUE,TRUE,281,160296.7331,240021.3127,411.5546237,9,Architecture and Related Services,4
University of columbia,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,465,165521.9527,182843.4393,529.4202124,25,Architecture and Related Services,4
University of columbia,2016,2016,532010,Aircraft pilots & flight engineers,TRUE,TRUE,470,126225.534,69512.4684,532.2589376,23,Architecture and Related Services,4
University of columbia,2015,2015,291020,Dentists,TRUE,TRUE,260,139434.4462,210231.4185,395.8776879,8,Architecture and Related Services,4
University of columbia,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,503,149585.3618,155875.9561,550.6275828,25,Architecture and Related Services,4
University of columbia,2015,2015,532010,Aircraft pilots & flight engineers,TRUE,TRUE,305,122343.2984,108900.3995,428.7698116,17,Architecture and Related Services,4
University of columbia,2014,2014,291020,Dentists,TRUE,TRUE,180,184695.1722,265835.0008,329.3902383,7,Architecture and Related Services,4
University of columbia,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,524,154784.8798,146247.2224,562.0042078,25,Architecture and Related Services,4
University of columbia,2014,2014,532010,Aircraft pilots & flight engineers,TRUE,TRUE,444,125994.9099,79712.54848,517.3274655,25,Architecture and Related Services,4
University of columbia,2020,2020,291020,Dentists,TRUE,TRUE,1485,188477.3104,102831.8812,946.0973151,75,Math & Statistics,27
University of columbia,2020,2020,291210,Physicians,TRUE,TRUE,8558,255107.9207,46431.3698,2271.163303,473,Math & Statistics,27
University of columbia,2020,2020,291240,Surgeons,TRUE,TRUE,395,264488.4127,263330.079,487.9470849,24,Math & Statistics,27
University of columbia,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3439,290441.8284,96470.8763,1439.745761,145,Math & Statistics,27
University of columbia,2020,2020,532010,Aircraft pilots & flight engineers,TRUE,TRUE,2290,205186.6258,82003.92456,1174.868189,119,Math & Statistics,27
University of columbia,2019,2019,291020,Dentists,TRUE,TRUE,1540,194313.6325,107690.8901,963.4581423,82,Math & Statistics,27
University of columbia,2019,2019,291210,Physicians,TRUE,TRUE,8685,263566.1641,45808.32902,2287.951852,500,Math & Statistics,27
University of columbia,2019,2019,291240,Surgeons,TRUE,TRUE,376,309309.5931,259034.7842,476.0670541,24,Math & Statistics,27
University of columbia,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3342,273838.4832,98608.12499,1419.296266,148,Math & Statistics,27
University of columbia,2019,2019,532010,Aircraft pilots & flight engineers,TRUE,TRUE,2127,186230.5896,76293.80097,1132.284003,122,Math & Statistics,27
University of columbia,2018,2018,291020,Dentists,TRUE,TRUE,1678,189862.2449,100759.7901,1005.69949,86,Math & Statistics,27
University of columbia,2018,2018,291210,Physicians,TRUE,TRUE,8724,253830.8376,44421.03456,2293.081829,491,Math & Statistics,27
University of columbia,2018,2018,291240,Surgeons,TRUE,TRUE,334,261653.4102,279261.4178,448.6911391,22,Math & Statistics,27
University of columbia,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3252,254029.5317,96505.00107,1400.055231,139,Math & Statistics,27
University of columbia,2018,2018,532010,Aircraft pilots & flight engineers,TRUE,TRUE,1878,185436.6928,80349.73784,1063.946394,112,Math & Statistics,27
University of columbia,2017,2017,291020,Dentists,TRUE,TRUE,1659,164241.5443,81383.86837,999.9894948,81,Math & Statistics,27
University of columbia,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,2861,239858.4939,99539.36348,1313.195398,126,Math & Statistics,27
University of columbia,2017,2017,532010,Aircraft pilots & flight engineers,TRUE,TRUE,1987,161398.1691,62527.26232,1094.386384,112,Math & Statistics,27
University of columbia,2016,2016,291020,Dentists,TRUE,TRUE,1558,161659.7644,74419.98141,969.072083,81,Math & Statistics,27
University of columbia,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3060,238359.8353,94082.27636,1358.096884,131,Math & Statistics,27
University of columbia,2016,2016,532010,Aircraft pilots & flight engineers,TRUE,TRUE,1796,152191.4237,58031.10441,1040.45944,102,Math & Statistics,27
University of columbia,2015,2015,291020,Dentists,TRUE,TRUE,1614,158639.1351,73886.74571,986.3339784,81,Math & Statistics,27
University of columbia,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3234,174706.7183,73428.80687,1396.174489,147,Math & Statistics,27
University of columbia,2015,2015,532010,Aircraft pilots & flight engineers,TRUE,TRUE,1643,148717.4626,55650.82836,995.1555411,93,Math & Statistics,27
University of columbia,2014,2014,291020,Dentists,TRUE,TRUE,1511,151476.2462,71011.51551,954.3431994,78,Math & Statistics,27
University of columbia,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,3166,189432.3383,75851.37664,1381.418186,145,Math & Statistics,27
University of columbia,2014,2014,532010,Aircraft pilots & flight engineers,TRUE,TRUE,1641,150196.5119,54325.6952,994.5495708,88,Math & Statistics,27
University of columbia,2020,2020,291210,Physicians,TRUE,TRUE,349,181378.2006,214726.0471,458.655875,13,Legal,22
University of columbia,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,179,137845.6313,247673.3487,328.4740096,8,Legal,22
University of columbia,2020,2020,532010,Aircraft pilots & flight engineers,TRUE,TRUE,171,116771.3041,158978.3655,321.049918,8,Legal,22
University of columbia,2019,2019,291210,Physicians,TRUE,TRUE,325,184738.4923,213763.5233,442.604638,12,Legal,22
University of columbia,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,237,115368.3165,196007.3501,377.9623866,11,Legal,22
University of columbia,2019,2019,532010,Aircraft pilots & flight engineers,TRUE,TRUE,167,145013.2156,188056.5737,317.272732,9,Legal,22
University of columbia,2018,2018,291210,Physicians,TRUE,TRUE,221,218399.2579,222110.0063,364.9812593,10,Legal,22
University of columbia,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,287,103921.9652,157877.6887,415.9252422,14,Legal,22
University of columbia,2018,2018,532010,Aircraft pilots & flight engineers,TRUE,TRUE,129,130453.2868,168942.2717,278.8492117,7,Legal,22
University of columbia,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,288,64983.61458,59317.08871,416.6492132,13,Legal,22
University of columbia,2017,2017,532010,Aircraft pilots & flight engineers,TRUE,TRUE,183,102084.235,134187.837,332.1238214,6,Legal,22
University of columbia,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,278,112907.3237,216076.0629,409.3518221,13,Legal,22
University of columbia,2016,2016,532010,Aircraft pilots & flight engineers,TRUE,TRUE,173,102568.7977,139751.14,322.9219329,6,Legal,22
University of columbia,2015,2015,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,300,105175.8033,196967.3573,425.2407896,15,Legal,22
University of columbia,2015,2015,532010,Aircraft pilots & flight engineers,TRUE,TRUE,164,102026.3049,145309.2179,314.4100543,5,Legal,22
University of columbia,2014,2014,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,229,116063.4891,246611.8669,371.5285006,11,Legal,22
University of columbia,2014,2014,532010,Aircraft pilots & flight engineers,TRUE,TRUE,167,90668.64671,98600.44134,317.2727173,5,Legal,22
University of columbia,2020,2020,291020,Dentists,TRUE,TRUE,1077,189488.4299,107549.489,805.7142274,66,Language & Linguistics,16
University of columbia,2020,2020,291210,Physicians,TRUE,TRUE,7836,198952.8826,46868.13841,2173.254025,417,Language & Linguistics,16
University of columbia,2020,2020,291240,Surgeons,TRUE,TRUE,403,310640.531,263389.5371,492.8635392,23,Language & Linguistics,16
University of columbia,2020,2020,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,621,152622.1369,163620.8842,611.8143358,41,Language & Linguistics,16
University of columbia,2020,2020,532010,Aircraft pilots & flight engineers,TRUE,TRUE,762,137697.9016,69818.00935,677.7212887,33,Language & Linguistics,16
University of columbia,2019,2019,291020,Dentists,TRUE,TRUE,1112,198659.8822,107601.0332,818.7013657,64,Language & Linguistics,16
University of columbia,2019,2019,291210,Physicians,TRUE,TRUE,7659,203703.0213,47043.46079,2148.570038,414,Language & Linguistics,16
University of columbia,2019,2019,291240,Surgeons,TRUE,TRUE,344,262529,281369.0675,455.3585268,21,Language & Linguistics,16
University of columbia,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,682,169258.6026,148719.6478,641.1592936,41,Language & Linguistics,16
